Name,JudgeName,Region,Province,Locality,Address,PostalCode,PhoneNumbers,Email,Fax,Url
Juzgado de Primera Instancia nº 14,"RIVAS VELASCO, MARIA JOSE",Andalucía,Granada,Granada,"Avda. del Sur, 3",18014,"958 05 86 06, 958 05 86 18",AtPublico.JInstancia.145.Granada.JUS@juntadeandalucia.es,958 89 79 16,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-n--14---Granada?provincia=18
Juzgado de lo Penal nº 3,"ARBONES FADULLA, JUDITH",Cataluña,Lleida,Lleida,"C/ Canyeret, 3-5",25007,"973 70 02 53, 973 70 01 60",penal3.lleida@xij.gencat.cat,973 24 24 02,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Penal-n--3---Lleida?provincia=25
Juzgado de Instrucción nº 5,"ROMERO JIMENEZ, JAVIER",Andalucía,Huelva,Huelva,"C/ Alameda Sundheim, 28",21003,"959 10 67 75, 959 10 67 61",AtPublico.JInstrucc.5.Huelva.JUS@juntadeandalucia.es,959 01 37 87,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Instruccion-n--5---Huelva?provincia=21
Juzgado de Menores nº 2,"GOYA BAEZA, SONIA",Andalucía,Cádiz,Algeciras,"C/ Muñoz Cobos, 4",11201,"956 90 43 50, 956 90 43 63",AtPublico.JMenores.2.Cadiz.Algeciras.JUS@juntadeandalucia.es,956 02 68 00,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Menores-n--2---Algeciras?provincia=11
Juzgado de Primera Instancia nº 5,"MULET GUAL, CATALINA",Illes Balears,Illes Balears,Inca,"Pza. de la Font Vella, 3",07300,"971 87 09 03, 971 50 05 04",instancia5.inca@justicia.es,971 87 07 48,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-n--5---Inca?provincia=07
Juzgado de Primera Instancia e Instrucción nº 3,"VIDAL SANCHEZ, ELENA MARIA",Murcia,Murcia,Cieza,"C/ Diego Jiménez Castellanos, s/n",30530,968 76 09 55,mixto3.cieza@justicia.es,968 76 16 02,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--3---Cieza?provincia=30
Juzgado de lo Contencioso-Administrativo nº 2,"MARTINEZ ALMAZAN, JESUS",Castilla la Mancha,Albacete,Albacete,"C/ Tinte, 3 - 4ª Plta.",02001,"967 19 25 74, 967 19 25 77",contencioso2.albacete@justicia.es,967 19 25 71,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Contencioso-Administrativo-n--2---Albacete?provincia=02
Juzgado de lo Penal nº 1,"MARIN LOPEZ, EUGENIA ISABEL",Murcia,Murcia,Cartagena,"C/ Ángel Bruna, 21",30203,968 32 62 09,penal1.cartagena@justicia.es,968 32 62 69,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Penal-n--1---Cartagena?provincia=30
Juzgado de lo Social nº 3,"RODRIGUEZ CASTILLA, ANTONIO JESUS",Andalucía,Córdoba,Córdoba,"C/ Isla Mallorca, s/n",14011,"957 74 50 17, 957 74 50 19",AtPublico.JSocial.3.Cordoba.JUS@juntadeandalucia.es,957 00 27 25,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Social-n--3---Cordoba?provincia=14
Juzgado de Primera Instancia e Instrucción nº 1,,Andalucía,Cádiz,Barbate,"Avda. del mar, 109",11160,"956 10 60 27, 956 10 60 28",AtPublico.Jmixto.1.Barbate.JUS@juntadeandalucia.es,956 45 97 10,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--1---Barbate?provincia=11
Juzgado Decano,"CASO SEÑAL, MERCEDES",Cataluña,Barcelona,Barcelona,"Gran Via de les Corts Catalanes, 111 (Edif. I)",08075,"93 554 88 21, 93 554 98 26",,93 554 90 69,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-Decano---Barcelona?provincia=08
Juzgado de lo Contencioso-Administrativo nº 1,"CERZOCIMO TORRES, JUDIT",Cataluña,Lleida,Lleida,"C/ Canyeret, 3-5",25007,"973 70 01 33, 973 70 01 60",contencios1.lleida@xij.gencat.cat,973 70 02 63,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Contencioso-Administrativo-n--1---Lleida?provincia=25
Juzgado de Primera Instancia nº 2,"BAUTISTA CAMARERO, OLGA",Cataluña,Girona,Girona,"Avda. Ramón Folch, 4-6",17001,972 18 17 16,instancia2.girona@xij.gencat.cat,972 18 17 89,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-n--2---Girona?provincia=17
Juzgado de lo Contencioso-Administrativo nº 1,"BORRERO ALVAREZ, JOSE MANUEL",Andalucía,Huelva,Huelva,"C/ Alameda Sundheim, 17",21003,"959 10 80 71, 959 10 80 99",AtPublico.JContencioso.1.Huelva.JUS@juntadeandalucia.es,959 52 62 72,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Contencioso-Administrativo-n--1---Huelva?provincia=21
Juzgado de Instrucción nº 7,"RIVAS NAVARRO, MARIA DOLORES MAGDALENA",Andalucía,Córdoba,Córdoba,"C/ Isla Mallorca, s/n",14011,"957 74 51 02, 957 74 50 99",AtPublico.JInstrucc.7.Cordoba.JUS@juntadeandalucia.es,957 10 93 33,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Instruccion-n--7---Cordoba?provincia=14
Juzgado de Primera Instancia e Instrucción Único,"ZORZO BENITO, CRISTINA",Castilla la Mancha,Guadalajara,Sigüenza,"C/ Humilladero, 4",19250,"949 39 00 51, 949 39 02 41",mixto1.siguenza@justicia.es,949 39 32 39,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-Unico---Siguenza?provincia=19
Juzgado de lo Contencioso-Administrativo nº 3,"FARIÑAS GOMEZ, ANA",Andalucía,Almería,Almería,Ctra. de Ronda 120,04006,"950 80 90 47, 950 80 90 56",AtPublico.JContencioso.3.Almeria.JUS@juntadeandalucia.es,950 20 41 16,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Contencioso-Administrativo-n--3---Almeria?provincia=04
Juzgado de lo Social nº 3,"MERINO SENOVILLA, MARIA HENAR",Andalucía,Almería,Almería,Ctra. de Ronda 120,04006,"950 80 90 44, 950 80 90 56",AtPublico.JSocial.3.Almeria.JUS@juntadeandalucia.es,950 20 41 09,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Social-n--3---Almeria?provincia=04
Juzgado de Primera Instancia e Instrucción nº 1,"VALDIVIA PARRA, CELIA",Castilla la Mancha,Ciudad Real,Puertollano,"C/ Cruces, 8",13500,926 44 18 52,mixto1.puertollano@justicia.es,926 41 23 32,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--1---Puertollano?provincia=13
Juzgado de lo Social nº 2,"BELINCHON BARRERA, MARIA ISABEL",Comunidad Valenciana,Castellón/Castelló,Castelló de la Plana,"Bulevar Blasco Ibáñez, s/n",12003,"964 62 14 29, 964 62 14 30",csso02_cas@gva.es,964 62 19 29,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Social-n--2---Castellon-de-la-Plana-Castello-de-la-Plana?provincia=12
Juzgado de Menores Único,"MALLEN BASTERRA, SARA",País Vasco,Araba/Álava,Vitoria-Gasteiz,"Avda. Gasteiz, 18 - 1ª Plta.",01008,"945 00 48 91, 945 00 48 97",menores.vitoria@justizia.eus,945 00 49 07,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Menores-Unico---Vitoria-Gasteiz?provincia=01
Juzgado de lo Contencioso-Administrativo nº 2,"SANCHEZ PRIETO, MARTA",Castilla y León,Salamanca,Salamanca,"Pza. Colón, 8",37001,"923 28 46 76, 923 28 47 72",contencioso2.salamanca@justicia.es,923 28 47 77,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Contencioso-Administrativo-n--2---Salamanca?provincia=37
Juzgado de Menores Único,"ANGOSTO AGUDO, ROSA MARIA",Castilla la Mancha,Ciudad Real,Ciudad Real,"C/ Eras del Cerrillo, 3",13004,926 27 88 44,menores1.ciudadreal@justicia.es,926 27 88 43,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Menores-Unico---Ciudad-Real?provincia=13
Juzgado de Instrucción nº 3,"CARIDE IRANZO, JOSE LUIS",Cataluña,Barcelona,Badalona,"C/ Prim, 32-40",08911,"93 464 86 07, 93 464 86 00",instruccio3.badalona@xij.gencat.cat,93 464 20 46,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Instruccion-n--3---Badalona?provincia=08
Juzgado de Instrucción nº 2,"VALDIVIA MILLA, ANTONIO",Andalucía,Jaén,Jaén,"C/ Carmelo Torres, 16",23007,"953 03 15 45, 953 03 15 46",AtPublico.JInstrucc.2.Jaen.JUS@juntadeandalucia.es,953 01 08 29,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Instruccion-n--2---Jaen?provincia=23
Juzgado de Primera Instancia nº 5,"HERNANDEZ VERGARA, ANTONIO",Madrid,Madrid,Alcobendas,"C/ Blas de Otero, 13",28100,"91 276 03 67, 91 276 03 69",instancia5_alcobendas@madrid.org,91 657 26 08,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-n--5---Alcobendas?provincia=28
Juzgado de Primera Instancia e Instrucción nº 1,"SANCHEZ PEREZ, MARIA ELENA",Extremadura,Cáceres,Plasencia,"C/ Marino Barbero Santos, 6",10600,"927 42 63 75, 927 42 63 72",mixto1.plasencia@justicia.es,927 42 24 24,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--1---Plasencia?provincia=10
Juzgado de Menores Único,"SANJUAN SECCHIUTTI, SILVIA",Castilla la Mancha,Albacete,Albacete,"C/ Tinte, 3 - 1ª Plta.",02001,"967 19 19 05, 967 19 19 06",menores1.albacete@justicia.es,967 52 05 51,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Menores-Unico---Albacete?provincia=02
Juzgado de lo Contencioso-Administrativo nº 3,"HERRERA ALONSO, MARIA DE AFRICA",País Vasco,Araba/Álava,Vitoria-Gasteiz,"Avda. Gasteiz, 18 - 5ª Plta.",01008,"945 00 49 36, 945 00 48 97",contencioso3.vitoria@justizia.eus,945 00 48 50,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Contencioso-Administrativo-n--3---Vitoria-Gasteiz?provincia=01
Juzgado de lo Contencioso-Administrativo nº 2,"SORIA PIQUER, CAROLA SOFIA",Comunidad Valenciana,Castellón/Castelló,Castelló de la Plana,"Bulevar Blasco Ibáñez, s/n",12003,"964 62 14 61, 964 62 14 62",csco02_cas@gva.es,964 62 19 09,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Contencioso-Administrativo-n--2---Castellon-de-la-Plana-Castello-de-l?provincia=12
Juzgado de Instrucción nº 1,"VICARIO ZURDO, OLGA MARIA",Illes Balears,Illes Balears,Inca,"C/ Pureza, 72. (Pza. del Bestiar)",07300,"971 50 02 93, 971 50 05 04",instruccion1.inca@justicia.es,971 88 12 76,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Instruccion-n--1---Inca?provincia=07
Juzgado de Primera Instancia e Instrucción nº 3,,Illes Balears,Illes Balears,Maó-Mahón,"C/ Antoni Juan Alemany, 2",07700,"971 35 75 57, 971 35 08 24",mixto3.mahon@justicia.es,971 36 31 91,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--3---Mao-Mahon?provincia=07
Juzgado de lo Penal nº 1,"LOPEZ-MANZANARES SOMOZA, ANTONIA",Castilla la Mancha,Ciudad Real,Ciudad Real,"C/ Eras del Cerrillo, 3",13004,926 27 89 02,penal1.ciudadreal@justicia.es,926 27 89 00,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Penal-n--1---Ciudad-Real?provincia=13
Audiencia Provincial Civil nº 2,"FERNANDEZ FONT, JOAQUIN MIGUEL",Cataluña,Girona,Girona,"Plaça de Josep Maria Lidón Corbí, 1",17001,972 94 23 68,upsd.aps2.girona@xij.gencat.cat,972 94 23 73,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Audiencia-Provincial-Civil-n--2---Girona?provincia=17
Juzgado de lo Social nº 3,"EDO PRADES, JAVIER",Comunidad Valenciana,Castellón/Castelló,Castelló de la Plana,"Bulevar Blasco Ibáñez, s/n",12003,"964 62 14 35, 964 62 14 36",csso03_cas@gva.es,964 62 19 30,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Social-n--3---Castellon-de-la-Plana-Castello-de-la-Plana?provincia=12
Juzgado de Primera Instancia e Instrucción nº 2,"CANUT FERNÁNDEZ, JENNIFER",Extremadura,Cáceres,Coria,"C/ Barrera Prior, s/n",10800,"927 50 81 69, 927 50 81 66",mixto2.coria@justicia.es,927 50 39 34,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--2---Coria?provincia=10
Juzgado de Primera Instancia nº 9,"ALVAREZ CIVANTOS, SUSANA",Andalucía,Granada,Granada,"Pza. Nueva, 8",18009,"958 05 89 81, 958 56 10 91",AtPublico.JInstancia.9.Granada.JUS@juntadeandalucia.es,958 02 64 60,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-n--9---Granada?provincia=18
Tribunal Superior de Justicia Adscripción Territorial,"ABAJO DE DIOS, JESUS DE",Cataluña,Barcelona,Barcelona,"Passeig Lluís Companys, 14-16",08018,"93 486 62 32, 93 486 61 84",,93 300 57 37,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia-Adscripcion-Territorial---Barcelona?provincia=08
Juzgado de lo Social nº 3,"RUIZ DEL REAL, INMACULADA",Andalucía,Jaén,Jaén,"Avda. Madrid, 70",23008,"953 33 13 63, 953 33 13 56",AtPublico.JSocial.3.Jaen.JUS@juntadeandalucia.es,953 00 34 18,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Social-n--3---Jaen?provincia=23
Juzgado de Primera Instancia e Instrucción nº 2,,Andalucía,Cádiz,Barbate,"Avda. del mar, 109",11160,"956 10 60 30, 956 10 60 31",AtPublico.Jmixto.2.Barbate.JUS@juntadeandalucia.es,956 45 97 17,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--2---Barbate?provincia=11
Juzgado de Primera Instancia e Instrucción nº 4,"MARTIN SOBRAO, CARMEN DE LAS NIEVES",Murcia,Murcia,Cieza,"C/ Diego Jiménez Castellanos, s/n",30530,968 77 39 65,mixto4.cieza@justicia.es,968 77 30 54,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--4---Cieza?provincia=30
Juzgado de Instrucción nº 8,"SARAVIA GONZALEZ, ANA MARIA",Andalucía,Córdoba,Córdoba,"C/ Isla Mallorca, s/n",14011,"957 74 50 98, 957 74 50 97",AtPublico.JInstrucc.8.Cordoba.JUS@juntadeandalucia.es,957 00 24 71,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Instruccion-n--8---Cordoba?provincia=14
Juzgado de Instrucción nº 4,"SALGADO CRIADO, GONZALO GREGORIO",Madrid,Madrid,Alcobendas,"C/ Joaquín Rodrigo, 3",28100,"91 625 85 13, 91 625 85 14",instruccion4_alcobendas@madrid.org,91 625 85 12,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Instruccion-n--4---Alcobendas?provincia=28
Juzgado de Primera Instancia e Instrucción nº 1,"RODRIGUEZ RODRIGUEZ, CARLOS JOSE",Andalucía,Cádiz,Arcos de la Frontera,"C/ Luis García Berlanga, s/n",11630,"856 58 61 90, 856 58 61 99",AtPublico.JMixto.1.Arcos.JUS@juntadeandalucia.es,956 70 96 01,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--1---Arcos-de-la-Frontera?provincia=11
Juzgado de Vigilancia Penitenciaria nº 3,"FELEZ GONZALEZ, JOSE IGNACIO",Cataluña,Lleida,Lleida,"C/ Clavell, 15, baixos 3a",25007,"973 70 00 92, 973 70 01 60",vigilancia.penitenciaria3.lleida@xij.gencat.cat,973 70 02 96,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Vigilancia-Penitenciaria-n--3---Lleida?provincia=25
Juzgado de Primera Instancia nº 3,"TORRES PINDADO, DAVID",Cataluña,Girona,Girona,"Avda. Ramón Folch, 4-6",17001,972 18 17 18,instancia3.girona@xij.gencat.cat,972 21 95 77,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-n--3---Girona?provincia=17
Juzgado de lo Mercantil nº 1,"MARTINEZ CUENCA, EVA",Castilla la Mancha,Albacete,Albacete,"C/ Torres Quevedo, 3 Bis",02003,967 55 12 44,instancia3.albacete@justicia.es,967 22 70 77,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Mercantil-n--1---Albacete?provincia=02
Juzgado de Primera Instancia nº 15,"BENAVIDES CABALLERO, MARTA",Andalucía,Granada,Granada,"Avda. del Sur, 1",18014,"958 98 30 72, 958 98 30 79",AtPublico.JInstancia.15.Granada.JUS@juntadeandalucia.es,958 57 58 00,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-n--15---Granada?provincia=18
Juzgado de lo Social nº 4,"TORRES MORENO, MARTA DE",Andalucía,Almería,Almería,Ctra. de Ronda 120,04006,"950 80 90 69, 950 80 90 71",AtPublico.JSocial.4.Almeria.JUS@juntadeandalucia.es,950 20 42 07,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Social-n--4---Almeria?provincia=04
Juzgado de Violencia sobre la Mujer nº 1,"ALONSO BENITO, CARLOTA",Cataluña,Lleida,Lleida,"C/ Canyeret, 3-5",25007,"973 03 00 85, 973 70 01 60",vido1.lleida@xij.gencat.cat,973 70 01 90,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Violencia-sobre-la-Mujer-n--1---Lleida?provincia=25
Juzgado de Instrucción nº 2,"VICENTE RUEDA, ARTURO",Andalucía,Córdoba,Córdoba,"C/ Isla Mallorca, s/n",14011,"957 74 50 69, 957 74 50 93",AtPublico.JInstrucc.2.Cordoba.JUS@juntadeandalucia.es,957 00 23 22,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Instruccion-n--2---Cordoba?provincia=14
Juzgado de Primera Instancia e Instrucción nº 1,"OCAÑA ANAYA, CARMEN",Andalucía,Sevilla,Estepa,"C/ Castillejo, 32",41560,"95 554 70 58, 95 554 70 89",AtPublico.JMixto.1.Estepa.JUS@juntadeandalucia.es,95 482 26 38,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--1---Estepa?provincia=41
Juzgado de lo Contencioso-Administrativo nº 4,"HERNANDEZ FONTAN, MARIA DEL CARMEN",Andalucía,Almería,Almería,Ctra. de Ronda 120,04006,"950 88 60 17, 950 88 81 34",AtPublico.JContencioso.4.Almeria.JUS@juntadeandalucia.es,950 20 43 54,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Contencioso-Administrativo-n--4---Almeria?provincia=04
Juzgado de lo Penal nº 2,"BELLAS DUBLANG, ALVARO",Murcia,Murcia,Cartagena,"C/ Ángel Bruna, 21",30203,968 32 62 03,penal2.cartagena@justicia.es,968 32 62 68,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Penal-n--2---Cartagena?provincia=30
Juzgado de Primera Instancia e Instrucción Único,"PEÑA LOZANO, LAURA",Castilla y León,Salamanca,Vitigudino,"Pedro Velasco, 18-1ª",37210,"923 50 00 05, 923 50 00 07",mixto1.vitigudino@justicia.es,923 50 01 09,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-Unico---Vitigudino?provincia=37
Juzgado de Instrucción nº 4,"NOALES TINTORE, JOSE MARIA",Cataluña,Barcelona,Badalona,"C/ Prim, 32-40",08911,"93 464 86 08, 93 464 86 00",instruccio4.badalona@xij.gencat.cat,93 384 42 02,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Instruccion-n--4---Badalona?provincia=08
Juzgado de Primera Instancia e Instrucción nº 2,"BARROSO GONZALEZ, LOURDES",Extremadura,Cáceres,Plasencia,"C/ Marino Barbero Santos, 6",10600,"927 42 63 77, 927 42 63 78",mixto2.plasencia@justicia.es,927 42 29 65,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--2---Plasencia?provincia=10
Juzgado de lo Social nº 1,"CENTENO BEGARA, MARIA DEL MAR",Andalucía,Huelva,Huelva,"C/ Vázquez López, 19",21001,"959 07 09 22, 959 07 09 23",AtPublico.JSocial.1.Huelva.JUS@juntadeandalucia.es,959 01 44 07,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Social-n--1---Huelva?provincia=21
Juzgado de lo Penal nº 1,"CARBALLO ALBARRAN, MARIA DEL PILAR",Castilla y León,Salamanca,Salamanca,"Pza. Colón, 8",37001,"923 28 45 38, 923 28 45 36",penal1.salamanca@justicia.es,923 28 45 39,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Penal-n--1---Salamanca?provincia=37
Juzgado de Primera Instancia e Instrucción nº 1,"MENDEZ RODRIGUEZ, MARTA",Extremadura,Cáceres,Logrosán,"C/ Las Cruces, s/n",10120,"927 15 80 92, 927 15 99 43",mixto1.logrosan@justicia.es,927 15 80 93,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--1---Logrosan?provincia=10
Juzgado de Menores nº 1,"GARCIA DEL ORDI, ESPERANZA",Cataluña,Lleida,Lleida,"C/ Canyeret, 3-5",25007,"973 70 01 78, 973 70 01 60",menors1.lleida@xij.gencat.cat,973 70 02 68,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Menores-n--1---Lleida?provincia=25
Juzgado de Primera Instancia nº 10,"CARRERO FERNANDEZ, JUANA",Andalucía,Granada,Granada,"Avda. del Sur, 1",18014,"958 05 87 07, 958 05 87 03",AtPublico.JInstancia.10.Granada.Familia.JUS@juntadeandalucia.es,958 89 71 24,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-n--10---Granada?provincia=18
Juzgado de Primera Instancia nº 6,"MERINO GUTIERREZ, ARTURO SANTIAGO",Madrid,Madrid,Alcobendas,"C/ Blas de Otero, 13",28100,91 276 02 41,,91 703 18 38,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-n--6---Alcobendas?provincia=28
Juzgado de lo Mercantil nº 1,"GIL MONZO, FRANCISCO MODESTO",Comunidad Valenciana,Castellón/Castelló,Castelló de la Plana,"Bulevar Blasco Ibáñez, s/n",12003,"964 62 14 47, 964 62 14 48",casmerca01_cas@gva.es,964 62 19 24,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Mercantil-n--1---Castellon-de-la-Plana-Castello-de-la-Plana?provincia=12
Juzgado de lo Contencioso-Administrativo nº 2,"MORON PENDAS, ISABEL",Andalucía,Huelva,Huelva,"C/ Alameda Sundheim, 17",21003,"959 10 81 01, 959 10 81 02",AtPublico.JContencioso.2.Huelva.JUS@juntadeandalucia.es,959 52 62 79,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Contencioso-Administrativo-n--2---Huelva?provincia=21
Juzgado de Instrucción nº 2,"NAVARRO ANDREU, MARIA DEL PILAR",Illes Balears,Illes Balears,Inca,"C/ Pureza, 72. (Pza. del Bestiar)",07300,"971 88 03 09, 971 50 05 04",instruccion2.inca@justicia.es,971 88 01 49,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Instruccion-n--2---Inca?provincia=07
Juzgado de lo Social nº 1,"ZAFRA MATA, DIEGO",Andalucía,Almería,Almería,Ctra. de Ronda 120,04006,"950 80 90 52, 950 80 90 56",AtPublico.JSocial.1.Almeria.JUS@juntadeandalucia.es,950 20 41 72,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Social-n--1---Almeria?provincia=04
Juzgado de lo Social nº 4,"DIAZ PUERTAS, MARIA LUISA",Comunidad Valenciana,Castellón/Castelló,Castelló de la Plana,"Bulevar Blasco Ibañez, 10 - 2ª Planta",12003,"964 62 14 13, 964 62 14 14",csso04_cas@gva.es,964 62 19 42,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Social-n--4---Castellon-de-la-Plana-Castello-de-la-Plana?provincia=12
Audiencia Provincial Penal nº 3,"CAROL GRAU, ILDEFONSO JUAN RAMON",Cataluña,Girona,Girona,"Plaça de Josep Maria Lidón Corbí, 1",17001,972 94 23 58,aps3.girona@xij.gencat.cat,972 94 23 71,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Audiencia-Provincial-Penal-n--3---Girona?provincia=17
Juzgado de lo Contencioso-Administrativo nº 1,"SALAS FELIPE, ANDRES",Andalucía,Almería,Almería,Ctra. de Ronda 120,04006,"950 80 90 49, 950 80 90 48",AtPublico.JContencioso.1.Almeria.JUS@juntadeandalucia.es,950 20 41 23,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Contencioso-Administrativo-n--1---Almeria?provincia=04
Juzgado de Violencia sobre la Mujer nº 1,"GARCIA DOMINGUEZ, CIRA",Castilla la Mancha,Albacete,Albacete,"C/ San Agustín, 1",02001,"967 59 66 03, 967 59 66 07",violenciamujer.albacete@justicia.es,967 59 66 05,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Violencia-sobre-la-Mujer-n--1---Albacete?provincia=02
